pwsid,year,month,produced_or_delivery,produced_or_delivery_type,population,acre_feet
CA0110003,2014,Jul,water delivered,industrial,56726,NA
CA0110003,2014,Jul,water delivered,other pws,56726,NA
CA0110003,2014,Jul,water delivered,single-family residential,56726,634.1614056
CA0110003,2014,Jul,water delivered,total retail,56726,905.11940061
CA0110003,2014,Jun,water delivered,agriculture,56726,NA
CA0110003,2014,Jun,water delivered,industrial,56726,NA
CA0110003,2014,Jun,water delivered,other,56726,3.35859447
CA0110003,2014,Mar,water delivered,other,56726,0.13085433
CA0110003,2014,May,water delivered,landscape irrigation,56726,NA
CA0110003,2014,May,water delivered,multi-family residential,56726,31.96289187
CA0110003,2014,May,water delivered,single-family residential,56726,492.00998511
CA0110003,2014,Oct,water delivered,agriculture,56726,NA
