pwsid,year,month,produced_or_delivery,produced_or_delivery_type,population,acre_feet
CA0110006,2014,Dec,water delivered,commercial/institutional,151037,0.26568891916857706
CA0110006,2014,Dec,water delivered,industrial,151037,0.15820114101230318
CA0110006,2014,Dec,water delivered,other,151037,0.0015743391918392148
CA0110006,2014,Dec,water delivered,other pws,151037,NA
CA0110006,2014,Feb,water delivered,commercial/institutional,151037,0.15429751634949715
CA0110006,2014,Feb,water delivered,single-family residential,151037,0.522177314171201
CA0110006,2014,Jan,water delivered,industrial,151037,0.34332563042617636
CA0110006,2014,Jul,water delivered,agriculture,151037,NA
CA0110006,2014,Jul,water delivered,landscape irrigation,151037,0.32733365863538855
CA0110006,2014,Jul,water delivered,multi-family residential,151037,0.34232517316196664
CA0110006,2014,Jul,water delivered,single-family residential,151037,0.7694467716839906
CA0110006,2014,Jun,water delivered,agriculture,151037,NA
CA0110006,2014,Jun,water delivered,commercial/institutional,151037,0.23521179925794305
CA0110006,2014,Mar,water delivered,other,151037,7.733596030087372e-4
CA0110006,2014,Mar,water delivered,other pws,151037,NA
CA0110006,2014,Mar,water delivered,total retail,151037,1.690073070206935
CA0110006,2014,May,water delivered,industrial,151037,0.3363715317737248
CA0110006,2014,May,water delivered,multi-family residential,151037,0.3612908967595619
CA0110006,2014,May,water delivered,single-family residential,151037,0.6511258213109673
CA0110006,2014,Oct,water delivered,industrial,151037,0.18696889068930278
CA0110006,2014,Oct,water delivered,other pws,151037,NA
CA0110006,2014,Sep,water delivered,agriculture,151037,NA
CA0110006,2014,Sep,water delivered,single-family residential,151037,0.5044176632878218
CA0110008,2014,Annual,water delivered,industrial,73067,0
CA0110008,2014,Annual,water delivered,other pws,73067,0
CA0110008,2014,Annual,water delivered,total retail,73067,12154.0256532
CA0110008,2014,Apr,water delivered,agriculture,73067,NA
CA0110008,2014,Apr,water delivered,multi-family residential,73067,50.37662136
CA0110008,2014,Aug,water delivered,agriculture,73067,NA
CA0110008,2014,Aug,water delivered,landscape irrigation,73067,337.48709121
CA0110008,2014,Aug,water delivered,other,73067,NA
CA0110008,2014,Aug,water delivered,other pws,73067,NA
CA0110008,2014,Dec,water delivered,other pws,73067,NA
CA0110008,2014,Feb,water delivered,single-family residential,73067,564.51935376
CA0110008,2014,Feb,water delivered,total retail,73067,843.95992332
CA0110008,2014,Jan,water delivered,industrial,73067,NA
CA0110008,2014,Jan,water delivered,total retail,73067,865.81489212
CA0110008,2014,Jul,water delivered,commercial/institutional,73067,160.98296556
CA0110008,2014,Jun,water delivered,landscape irrigation,73067,153.75613343999999
CA0110008,2014,Mar,water delivered,agriculture,73067,NA
CA0110008,2014,Mar,water delivered,landscape irrigation,73067,151.00130544
CA0110008,2014,May,water delivered,landscape irrigation,73067,261.66045051
CA0110008,2014,Nov,water delivered,commercial/institutional,73067,165.10372911
CA0110008,2014,Oct,water delivered,industrial,73067,NA
CA0110008,2014,Oct,water delivered,multi-family residential,73067,108.71010426
CA0110008,2014,Sep,water delivered,commercial/institutional,73067,158.20058928
CA0110008,2014,Sep,water delivered,single-family residential,73067,522.43476468
CA0110009,2014,Annual,water delivered,multi-family residential,79547,1071.61431786
CA0110009,2014,Aug,water delivered,multi-family residential,79547,106.57511256
CA0110009,2014,Dec,water delivered,landscape irrigation,79547,688.5003879
CA0110009,2014,Feb,water delivered,other,79547,NA
CA0110009,2014,Jul,water delivered,landscape irrigation,79547,132.90208548
CA0110009,2014,Jun,water delivered,commercial/institutional,79547,180.2575788
CA0110009,2014,Jun,water delivered,total retail,79547,1370.68303692
CA0110001,2014,Annual,water delivered,agriculture,"340,000",0.28007418
CA0110001,2014,Apr,water delivered,industrial,"340,000",129.63302292
CA0110001,2014,Aug,water delivered,industrial,"340,000",202.94129168999999
CA0110001,2014,Aug,water delivered,landscape irrigation,"340,000",172.9802415
CA0110001,2014,Aug,water delivered,total retail,"340,000",3967.70071494
CA0110001,2014,Dec,water delivered,commercial/institutional,"340,000",441.15356454
CA0110001,2014,Feb,water delivered,agriculture,"340,000",NA
CA0110001,2014,Feb,water delivered,industrial,"340,000",102.19723173
CA0110001,2014,Feb,water delivered,multi-family residential,"340,000",566.95048947
CA0110001,2014,Jan,water delivered,commercial/institutional,"340,000",414.77149506
CA0110001,2014,Jan,water delivered,industrial,"340,000",390.72184662
CA0110001,2014,Jan,water delivered,other,"340,000",203.26498398
CA0110001,2014,Jan,water delivered,single-family residential,"340,000",2374.98542829
CA0110001,2014,Jul,water delivered,multi-family residential,"340,000",490.87132287
CA0110001,2014,Jul,water delivered,single-family residential,"340,000",1956.58903872
CA0110001,2014,Mar,water delivered,single-family residential,"340,000",1265.30857023
CA0110001,2014,May,water delivered,commercial/institutional,"340,000",372.30811712999997
CA0110001,2014,May,water delivered,total retail,"340,000",2559.39820599
CA0110001,2014,Nov,water delivered,agriculture,"340,000",NA
CA0110001,2014,Oct,water delivered,commercial/institutional,"340,000",618.79635243
CA0110001,2014,Oct,water delivered,single-family residential,"340,000",1581.87503847
CA0110001,2014,Oct,water delivered,total retail,"340,000",3669.57093309
CA0110001,2014,Sep,water delivered,agriculture,"340,000",0.05050518
CA0110001,2014,Sep,water delivered,other,"340,000",282.79916403
CA0110003,2014,Annual,water delivered,agriculture,56726,0
CA0110003,2014,Annual,water delivered,industrial,56726,0
CA0110003,2014,Annual,water delivered,multi-family residential,56726,445.36845138
CA0110003,2014,Annual,water delivered,other,56726,14.53401339
CA0110003,2014,Apr,water delivered,other,56726,0.08723622
CA0110003,2014,Aug,water delivered,single-family residential,56726,599.3725193399999
CA0110003,2014,Aug,water delivered,total retail,56726,860.36721975
CA0110003,2014,Dec,water delivered,industrial,56726,NA
CA0110003,2014,Dec,water delivered,single-family residential,56726,330.74924106
CA0110003,2014,Feb,water delivered,other,56726,2.8650211199999998
CA0110003,2014,Jan,water delivered,landscape irrigation,56726,NA
CA0110003,2014,Jul,water delivered,agriculture,56726,NA
CA0110003,2014,Jul,water delivered,commercial/institutional,56726,224.70902427
CA0110003,2014,Jun,water delivered,multi-family residential,56726,42.19707789
CA0110003,2014,Jun,water delivered,other pws,56726,NA
CA0110003,2014,Mar,water delivered,agriculture,56726,NA
CA0110003,2014,Mar,water delivered,other pws,56726,NA
CA0110003,2014,May,water delivered,industrial,56726,NA
CA0110003,2014,Nov,water delivered,landscape irrigation,56726,0.3902673
CA0110003,2014,Nov,water delivered,multi-family residential,56726,30.66582702
CA0110003,2014,Nov,water delivered,other pws,56726,NA
CA0110003,2014,Nov,water delivered,single-family residential,56726,424.63607499
CA0110003,2014,Nov,water delivered,total retail,56726,609.72378555
CA0110003,2014,Oct,water delivered,industrial,56726,NA
