org_id,supplier_name,year,water_use_acre_feet,water_supplies_acre_feet,benefit_supply_augmentation_acre_feet,benefit_demand_reduction_acre_feet
2437,sweetwater authority,2022,18974,18974,NA,NA
2438,sweetwater springs water district,2022,576,1137,NA,115
2444,tahoe city public utilities district,2022,574,838,NA,NA
1408,temescal valley water district,2022,6242,6642,NA,NA
2457,templeton community services district,2022,1453,2312,0,100
440,test agency 3,2022,100000,NA,NA,NA
2466,thermalito water and sewer district,2022,2362,8400,NA,NA
2469,thousand oaks  city of,2022,10528,10528,0,0
2473,three valleys municipal water district,2022,71496,71546,0,0
2487,torrance  city of,2022,18109,29643,0,0
2490,trabuco canyon water district,2022,3315,3315,0,0
2496,tracy  city of,2022,20320,22513,0,0
2510,triunfo sanitation district/oak park water service,2022,2205,2196,NA,221
2512,truckee - donner public utilities district,2022,1774,7168,NA,NA
2516,tulare  city of,2022,5814,5476,0,338
2523,tuolumne utilities district,2022,17597,23175,NA,NA
2524,turlock  city of,2022,11071,11288,NA,NA
2528,tustin  city of,2022,10919,10919,0,0
2530,twentynine palms water district,2022,2713,6995,0,0
2536,ukiah  city of,2022,3134,11534,0,313
2540,united water conservation district,2022,13871,13871,0,0
2541,upland  city of,2022,20006,20006,NA,NA
2543,upper san gabriel valley municipal water,2022,21845,15563,NA,2185
2597,vacaville  city of,2022,18210,20336,NA,3642
2602,vallecitos water district,2022,5416,5416,NA,NA
2603,vallejo  city of,2022,28426,32592,NA,NA
2604,valley center municipal water district,2022,18686,18686,0,0
2605,valley county water district,2022,6414,6830,0,0
2610,valley of the moon water district,2022,2698,3200,0,0
2618,valley water company,2022,3258,4166,0,0
2626,vaughn water company,2022,4953,7800,NA,500
2629,ventura county waterworks district no 01 - moorpark,2022,9748,12645,0,0
2631,ventura county waterworks district no 08 - simi valley,2022,20258,21353,NA,NA
2633,vernon  city of,2022,7200,8339,NA,NA
2635,victorville water district,2022,24674,24674,NA,NA
2649,vista irrigation district,2022,19000,19000,0,0
2661,walnut valley water district,2022,21293,23008,0,0
2662,wasco  city of,2022,1031,1837,NA,NA
2667,water facilities authority,2022,30217,27954,0,2263
2669,watsonville  city of,2022,NA,NA,NA,NA
2675,west basin municipal water district,2022,142960,142960,0,0
2679,west kern water district,2022,16051,14500,1551,0
2683,west sacramento  city of,2022,13520,28866,NA,NA
2690,west valley water district,2022,23587,27125,NA,NA
2691,westborough water district,2022,307,307,0,0
2697,western municipal water district of riverside,2022,28062,33677,NA,NA
2704,westminster  city of,2022,11473,11473,0,0
2723,whittier  city of,2022,8043,8141,0,0
2751,windsor  town of,2022,5916,4688,0,1228
2766,woodland  city of,2022,13198,34649,NA,NA
4811,woodland-davis clean water agency,2022,20024,22691,NA,NA
2782,yorba linda water district,2022,20400,20400,0,0
2789,yreka  city of,2022,1915,7051,0,0
2790,yuba city,2022,15395,22198,NA,NA
2793,yucaipa valley water district,2022,12000,58100,NA,NA
13,adelanto  city of,2023,4182,64406,NA,NA
22,alameda county flood control district  zone 7,2023,48500,80900,NA,NA
23,alameda county water district,2023,43646,55607,0,0
30,alhambra  city of,2023,11821,11076,0,745
55,amador water agency,2023,7870,18820,0,1967
57,american canyon  city of,2023,2777,2547,230,NA
64,anaheim  city of,2023,60245,60245,NA,NA
66,anderson  city of,2023,913,1048,NA,NA
79,antelope valley - east kern water agency,2023,42590,25410,17180,0
82,antioch  city of,2023,4645,4841,NA,NA
87,apple valley ranchos water company,2023,17718,17124,0,594
93,arcadia  city of,2023,17952,17452,0,500
94,arcata  city of,2023,638,1369,NA,NA
99,arroyo grande  city of,2023,2321,2807,NA,NA
102,arvin community service district,2023,1057,1057,0,317
107,atascadero mutual water company,2023,1803,1803,NA,NA
110,atwater  city of,2023,6567,6567,NA,NA
117,azusa light and water,2023,18432,27136,0,0
123,bakersfield  city of,2023,48432,41167,NA,7265
124,bakman water company,2023,1150,1150,0,0
129,banning  city of,2023,9172,9507,0,917
159,beaumont - cherry valley water district,2023,14473,9794,1785,2895
167,bella vista water district,2023,10053,7166,0,2887
170,bellflower - somerset mutual water company,2023,5876,5585,NA,291
178,benicia  city of,2023,10223,18004,NA,NA
193,beverly hills  city of,2023,11290,11290,NA,NA
197,big bear community services district,2023,1137,1137,0,0
198,big bear lake  city of,2023,2142,3100,NA,NA
241,blythe  city of,2023,3429,6900,0,343
262,brawley  city of,2023,2218,2734,NA,NA
263,brea  city of,2023,9941,9941,0,0
264,brentwood  city of,2023,4081,6231,NA,NA
283,buena park  city of,2023,14713,14713,0,0
285,burbank  city of,2023,24553,24553,0,0
286,burlingame  city of,2023,1249,662,NA,587
351,calaveras county water district,2023,5842,81243,0,0
353,calexico  city of,2023,2390,2920,0,239
368,california american water company - los angeles division,2023,20733,20733,0,0
369,california american water company - monterey district,2023,9920,5710,0,4210
372,california american water company - sacramento district,2023,10468,41559,0,0
373,california american water company - san diego district,2023,3336,4003,NA,NA
376,california american water company - ventura district,2023,16045,18559,0,0
384,california water service company antelope valley,2023,733,733,NA,NA
386,california water service company bakersfield,2023,61503,61503,NA,NA
387,california water service company bear gulch,2023,13695,7258,0,6437
388,california water service company chico district,2023,24921,24921,NA,NA
390,"california water service company dixon, city of",2023,1440,1440,NA,NA
391,california water service company dominguez,2023,34069,34069,NA,NA
392,california water service company east los angeles,2023,14601,14601,NA,NA
396,california water service company hermosa/redondo,2023,11278,11278,NA,NA
397,california water service company kern river valley,2023,791,791,NA,NA
398,california water service company king city,2023,1757,1757,NA,NA
401,california water service company livermore,2023,9852,9852,NA,NA
402,california water service company los altos/suburban,2023,14014,14014,NA,NA
405,california water service company marysville,2023,2090,2090,NA,NA
420,california water service company mid peninsula,2023,15002,7951,0,7051
412,california water service company oroville,2023,2855,2855,NA,NA
413,california water service company palos verdes,2023,18459,18459,NA,NA
416,california water service company redwood valley,2023,384,384,NA,NA
417,california water service company salinas district,2023,17357,17357,NA,NA
421,california water service company selma,2023,4721,4721,NA,NA
422,california water service company south san francisco,2023,7733,4820,0,2913
424,california water service company stockton,2023,24783,24783,NA,NA
427,california water service company visalia,2023,32376,32376,NA,NA
428,california water service company westlake,2023,7686,7686,NA,NA
429,california water service company willows,2023,1517,1517,NA,NA
433,calleguas municipal water district,2023,109597,137097,NA,NA
443,camarillo  city of,2023,7020,12593,0,0
445,cambria community service district,2023,580,467,0,116
467,camrosa water district,2023,15723,26800,NA,NA
478,carlsbad municipal water district,2023,20524,20524,0,0
481,carmichael water district,2023,9295,25771,NA,NA
485,carpinteria valley water district,2023,4000,3200,0,800
495,casitas municipal water district,2023,14525,10626,0,3899
1050,casitas municipal water district - ojai,2023,1850,1663,NA,187
510,central basin municipal water district,2023,259583,308033,0,0
514,central coast water authority,2023,6158,6158,0,0
522,ceres  city of,2023,2816,8258,NA,NA
524,cerritos  city of,2023,12747,11910,0,837
545,chino  city of,2023,25763,25073,0,690
546,chino basin desalter authority,2023,40000,40000,0,0
547,chino hills  city of,2023,16613,29526,NA,NA
2979,"chowchilla, city of water department",2023,971,3532,NA,NA
561,citrus heights water district,2023,9974,9974,NA,NA
572,cloverdale  city of,2023,458,411,NA,69
574,clovis  city of,2023,34040,38068,0,4031
575,coachella  city of,2023,9408,9408,NA,NA
577,coachella valley water district,2023,125961,125961,NA,NA
578,coalinga  city of,2023,1437,1660,NA,NA
583,coastside county water district,2023,701,332,0,369
596,colton  city of,2023,10508,12084,NA,NA
607,compton  city of,2023,6972,7580,NA,NA
613,contra costa water district,2023,126300,134200,NA,NA
618,corcoran  city of,2023,6331,6890,NA,NA
624,corona  city of,2023,42737,43955,NA,NA
644,covina  city of,2023,6206,6058,0,148
649,crescent city,2023,812,812,NA,NA
651,crescenta valley community water district,2023,3954,5748,0,0
654,crestline village water district,2023,272852,318427,NA,NA
664,cucamonga valley water district,2023,57566,55726,0,1840
673,daly city,2023,2150,2026,NA,124
678,davis  city of,2023,12453,19762,NA,NA
699,del oro water company,2023,404189,646488,NA,NA
711,delano  city of,2023,13423,13423,0,0
727,desert water agency,2023,38527,38527,NA,NA
731,diablo water district,2023,2390,3801,NA,NA
737,dinuba  city of,2023,1780,1513,0,267
739,discovery bay community services district,2023,1274,2500,NA,NA
2998,dixon  city of,2023,835,835,NA,NA
748,downey  city of,2023,18113,17279,0,834
759,dublin san ramon services district,2023,14372,14372,NA,NA
775,east bay municipal utility district,2023,66065,64605,NA,1460
784,east niles community services district,2023,8919,8919,0,0
785,east orange county water district,2023,880,880,0,0
787,east palo alto  city of,2023,662,341,131.4,190
793,east valley water district,2023,21088,24251,NA,NA
794,eastern municipal water district,2023,194400,194400,NA,15400
814,el centro  city of,2023,7542,7542,0,0
816,el dorado irrigation district,2023,39640,55300,NA,NA
821,el monte  city of,2023,2669,2669,NA,NA
827,el segundo  city of,2023,5450,5314,136,NA
830,el toro water district,2023,9393,9393,0,0
835,elk grove water district,2023,7410,13000,NA,NA
842,elsinore valley municipal water district,2023,27183,34736,NA,NA
851,escondido  city of,2023,24466,24466,0,0
856,estero municipal improvement district,2023,1607,873,0,734
859,eureka  city of,2023,1006,2555,NA,NA
866,fair oaks water district,2023,11244,23718,NA,NA
867,fairfield  city of,2023,6987,13053,6066,NA
873,fallbrook public utility district,2023,10710,10710,NA,NA
890,fillmore  city of,2023,1869,5674,NA,NA
904,folsom  city of,2023,20270,34470,NA,NA
909,foothill municipal water district,2023,8716,11773,0,0
920,fortuna  city of,2023,447,447,NA,NA
924,fountain valley  city of,2023,10538,10538,0,0
934,fresno  city of,2023,170051,196200,0,0
967,fullerton  city of,2023,26407,26407,0,0
972,galt  city of,2023,5505,5505,NA,NA
977,garden grove  city of,2023,23685,23685,0,0
990,georgetown divide public utility district,2023,9239,11890,0,3457
995,gilroy  city of,2023,9913,18455,NA,NA
1004,glendale  city of,2023,21500,10876,6324,4300
1005,glendora  city of,2023,14267,13273,0,994
1029,golden state water company - artesia,2023,5601,5601,NA,NA
1030,golden state water company - barstow,2023,5399,18009,NA,NA
1031,golden state water company - bay point,2023,1938,1938,NA,NA
1032,golden state water company - bell-bell gardens,2023,5086,5086,NA,NA
1034,golden state water company - claremont,2023,10067,8970,0,1097
1036,golden state water company - cordova,2023,14817,14817,NA,NA
1038,golden state water company - culver city,2023,5466,5466,NA,NA
1041,golden state water company - florence graham,2023,5284,5284,NA,NA
1049,golden state water company - norwalk,2023,4800,4800,NA,NA
1052,golden state water company - orcutt,2023,6645,6645,NA,NA
1053,golden state water company - placentia,2023,7311,7311,NA,NA
1054,golden state water company - san dimas,2023,12169,12377,0,0
1057,golden state water company - simi valley,2023,6613,6613,NA,NA
1058,golden state water company - south arcadia,2023,3235,3235,NA,NA
1059,golden state water company - south san gabriel,2023,2624,2624,NA,NA
1060,golden state water company - southwest,2023,29456,29456,NA,NA
1062,golden state water company - west orange,2023,15383,15383,NA,NA
1068,goleta water district,2023,12115,11465,0,3029
1083,great oaks water company incorporated,2023,2825,3628,NA,NA
1094,greenfield county water district,2023,2648,9722,NA,NA
1109,groveland community services district,2023,174,150,NA,24
1110,grover beach  city of,2023,1340,1340,NA,NA
1125,hanford  city of,2023,12737,15057,NA,NA
1142,hawthorne  city of,2023,4032,4032,NA,NA
1143,hayward  city of,2023,6165,3174,NA,2991
1144,healdsburg  city of,2023,705,708,NA,NA
1154,helix water district,2023,33839,38369,NA,NA
1157,hemet  city of,2023,4733,4539,0,194
1166,hesperia water district,2023,14770,14770,NA,NA
1167,hi desert water district,2023,3012,3012,NA,NA
1181,hillsborough  town of,2023,3304,1803,NA,1501
1188,hollister  city of,2023,6917,6225,0,692
1209,humboldt bay municipal water district,2023,9358,45000,NA,NA
1210,humboldt community services district,2023,721,1235,NA,NA
1215,huntington beach  city of,2023,27799,27799,0,0
1217,huntington park  city of,2023,4510,5100,0,451
1225,imperial  city of,2023,1070,1070,0,107
1234,indian wells valley water district,2023,6850,20000,NA,NA
1236,indio  city of,2023,22935,22935,NA,NA
1238,inglewood  city of,2023,11344,14250,NA,NA
1239,inland empire utilities agency,2023,109911,150972,0,0
1245,irvine ranch water district,2023,83119,156703,NA,2571
1270,joshua basin water district,2023,1296,1211,NA,NA
1273,jurupa community service district,2023,24185,32699,NA,NA
1286,kerman  city of,2023,1055,792,NA,263
1288,kern county water agency improvement district no 4,2023,62575,59593,2982,NA
1324,la habra  city of,2023,9217,9217,0,0
1327,la palma  city of,2023,2021,2021,0,0
1333,la verne  city of,2023,6718,7031,0,0
1335,laguna beach county water district,2023,3601,3601,NA,NA
1343,lake arrowhead community services district,2023,1646.7,2527.5,0,198
1352,lake hemet municipal water district,2023,15005,15005,NA,750
1368,lakeside water district,2023,3500,3500,NA,NA
1370,lakewood  city of,2023,7164,9882,0,0
1371,lamont public utility district,2023,1282,2615,NA,NA
1384,las virgenes municipal water district,2023,24763,24763,NA,NA
1388,lathrop  city of,2023,7612,9949,0,0
1869,liberty utilities (park water) corp,2023,11590,11155,0,435
1424,lincoln  city of,2023,14160,14160,NA,NA
1425,lincoln avenue water company,2023,2056,3633,0,0
1427,linda county water district,2023,3893,29195,2420,370
1432,lindsay  city of,2023,2345,2129,NA,NA
1443,livermore  city of,2023,2007,2007,0,0
1444,livingston  city of,2023,2939,2840,NA,99
1450,lodi  city of,2023,14389,16500,0,719
1452,loma linda  city of,2023,5999,6899,NA,NA
1456,lomita  city of,2023,2206,4000,0,221
1459,lompoc  city of,2023,4991,10795,0,0
1464,long beach  city of,2023,53463,83852,NA,NA
1473,los angeles city department of water and power,2023,668600,668600,NA,NA
1481,los angeles county waterworks district 29 - malibu & marina del rey,2023,8820,8015,NA,805
1484,los angeles county waterworks district 40 - antelope valley,2023,51570,70884,NA,NA
1487,los banos  city of,2023,8327,8327,0,0
1506,lynwood  city of,2023,5849,7942,NA,NA
1510,madera  city of,2023,12424,12424,0,2485
1533,mammoth community water district,2023,2408,1955,NA,722
1536,manhattan beach  city of,2023,5926,5697,0,229
1539,manteca  city of,2023,15969,17900,NA,NA
1546,marin municipal water district,2023,35476,86430,0,0
1547,marina coast water district,2023,3898,10900,0,0
1554,martinez  city of,2023,4575,4575,NA,NA
3056,mcfarland  city of,2023,548,1496,NA,NA
1570,mckinleyville community services district,2023,457,949,0,0
1587,menlo park  city of,2023,1192,628,0,564
1589,merced  city of,2023,25807,25807,NA,NA
1596,mesa water district,2023,18341,18341,0,0
1599,metropolitan water district of southern california,2023,1688000,1300000,388000,0
1605,mid-peninsula water district,2023,1022,540,NA,482
1613,millbrae  city of,2023,785,416,0,415
1619,milpitas  city of,2023,4010,2468,0,1542
1626,mission springs water district,2023,8705,8705,NA,NA
1631,modesto  city of,2023,59441,74757,NA,NA
1632,modesto irrigation district,2023,23257,23257,NA,NA
1635,mojave water agency,2023,130000,130000,NA,NA
1639,monrovia  city of,2023,8266,7986,0,280
1642,monte vista water district,2023,22365,19095,0,3270
1644,montebello land and water company,2023,2958,3363,NA,NA
1645,montecito water district,2023,4943,4638,305,NA
1650,monterey park  city of,2023,9665,9094,0,571
1656,morgan hill  city of,2023,8346,19096,NA,NA
1660,morro bay  city of,2023,1236,2267,0,0
1663,moulton niguel water district,2023,30494,30494,NA,NA
4231,mountain house community services district,2023,5411,5411,NA,NA
1671,mountain view  city of,2023,11398,9118,0,2280
1684,municipal water district of orange county (mwdoc),2023,177578,177578,0,0
1697,myoma dunes mutual water company,2023,4220,4220,NA,NA
1701,napa  city of,2023,14903,12912,NA,1991
1718,nevada irrigation district,2023,210881,381346,NA,NA
1729,newman  city of,2023,811,849,NA,0
1730,newport beach  city of,2023,15817,15817,0,0
1731,nipomo community service district,2023,2090,2267,NA,NA
1732,norco  city of,2023,6700,14400,NA,NA
1739,north coast county water district,2023,855.16,523.22,0,331.94
1748,north marin water district,2023,9975,15913,0,0
1752,north tahoe public utilities district,2023,375,375,NA,NA
1756,norwalk  city of,2023,2066,3694,0,0
1765,oakdale  city of,2023,9145,9145,NA,NA
1777,oceanside  city of,2023,28086,28086,0,0
1782,oildale mutual water company,2023,9666.7,24575,NA,NA
1792,olivehurst public utilities district,2023,1605,6544,NA,NA
1793,olivenhain municipal water district,2023,20648,20648,NA,NA
1795,ontario  city of,2023,53774,45196,0,8578
1797,orange  city of,2023,28765,28765,0,0
1803,orangevale water company,2023,3885,3885,NA,NA
1804,orchard dale water district,2023,1979,2107,NA,NA
1821,otay water district,2023,36596,36596,NA,NA
1827,oxnard  city of,2023,28540,28540,NA,NA
1838,padre dam municipal water district,2023,11058,11058,NA,NA
1849,palmdale water district,2023,19620,17475,NA,4316
1851,palo alto  city of,2023,11298,6510,NA,4788
1859,paradise irrigation district,2023,4122,12182,NA,NA
1866,paramount  city of,2023,5491,5391,100,NA
1873,pasadena  city of,2023,27625,31533,182,1129
1875,paso robles  city of,2023,6207,6207,NA,NA
1877,patterson  city of,2023,4726,5582,NA,NA
1894,petaluma  city of,2023,10316,10316,NA,NA
1896,phelan pinon hills community services district,2023,2833,2833,NA,NA
1899,pico rivera  city of,2023,259583,308033,0,0
1900,pico water district,2023,3354,3315,0,39
1923,pismo beach  city of,2023,1833,1205,628,0
1925,pittsburg  city of,2023,10311,11744,NA,NA
1927,placer county water agency,2023,140367,249100,NA,NA
1940,pleasanton  city of,2023,17801,17801,NA,NA
1945,pomona  city of,2023,28424,24801,0,3623
1953,port hueneme  city of,2023,1935,1935,NA,NA
1954,port hueneme water agency,2023,4313,7195,NA,NA
1956,porterville  city of,2023,3927,7856,0,0
1964,poway  city of,2023,11595,11595,0,0
1983,quartz hill water district,2023,4190,4190,0,0
1990,rainbow municipal water district,2023,13974,18495,NA,NA
1996,ramona municipal water district,2023,4896,5409,NA,NA
2000,rancho california water district,2023,67347,75235,NA,NA
2031,red bluff  city of,2023,4538,4538,0,0
2033,redding  city of,2023,8657,11831,NA,NA
2035,redlands  city of,2023,29644,34090,0,0
2037,redwood city,2023,10766.71,6490.71,0,4276
2042,reedley  city of,2023,1733,1733,NA,NA
2049,rialto  city of,2023,11217,12900,NA,NA
2057,rincon del diablo municipal water district,2023,9149,9149,NA,NA
2060,rio linda - elverta community water district,2023,2846,2846,NA,NA
2063,rio vista  city of,2023,2146,2146,NA,NA
2074,riverbank  city of,2023,4558,15944,0,0
2083,riverside  city of,2023,85698,111223,NA,NA
2087,riverside highland water company,2023,4868,5598,NA,NA
2103,rohnert park  city of,2023,6672,10177,NA,NA
2107,rosamond community service district,2023,2636,2407,229,NA
2111,roseville  city of,2023,45380,59480,NA,NA
2115,rowland water district,2023,12394,11727,0,667
2118,rubidoux community service district,2023,5624,5624,NA,NA
2119,rubio canyon land and water association,2023,1875,2419,0,0
2122,running springs water district,2023,421,421,NA,NA
2130,sacramento  city of,2023,122723,325200,NA,NA
2132,sacramento county water agency,2023,54087,91290,NA,NA
2140,sacramento suburban water district,2023,33986,36000,NA,NA
2146,san antonio water company,2023,14571,14571,NA,NA
2149,san benito county water district,2023,6917,6225,0,692
2150,san bernardino  city of,2023,50625,58219,NA,NA
2154,san bernardino county service area 64 spring valley lake,2023,2743,2743,NA,NA
2891,san bernardino county service area 70 j oak hills,2023,1625,1625,NA,NA
2156,san bernardino valley municipal water district,2023,26676,26676,NA,NA
2157,san bruno  city of,2023,1642414,1917714,NA,NA
2158,san buenaventura  city of (ventura),2023,16026,16962,NA,NA
2159,san clemente  city of,2023,9388,9388,0,0
2160,san diego  city of,2023,191901,191901,NA,NA
2161,san diego county water authority,2023,470163,638905,0,0
2162,san dieguito water district,2023,7082,7082,0,0
2163,san fernando  city of,2023,2891,3570,0,0
2164,san francisco public utilities commission,2023,78300,52980,NA,25320
2165,san gabriel county water district,2023,7028,6503,0,525
3994,san gabriel valley municipal water district,2023,14370,1440,0,0
2167,san gabriel valley water company,2023,44634,42150,0,2484
2166,san gabriel valley water company   fontana division,2023,43270,43270,NA,NA
2168,san gorgonio pass water agency,2023,29480,29480,NA,NA
2169,san jacinto  city of,2023,3230,2963,0,267
2174,san jose  city of,2023,19666,17361,NA,2305
2175,san jose water company,2023,42677,42677,NA,NA
2179,san juan water district,2023,53190,57640,NA,NA
2180,san lorenzo valley water district,2023,1725,1725,0,0
2182,san luis obispo  city of,2023,6593,10167,0,0
2184,san luis obispo county flood control and water conservation,2023,8730,8730,NA,NA
2205,sanger  city of,2023,2161,2192,NA,0
2207,santa ana  city of,2023,35748,35748,0,0
2209,santa barbara  city of,2023,13160,44080,0,0
2210,santa clara  city of,2023,18888,29686,0,0
2211,santa clara valley water district,2023,325000,335000,0,0
4993,santa clarita valley water agency,2023,76800,57980,22060,NA
2213,santa cruz  city of,2023,2657,2657,NA,NA
2214,santa fe irrigation district,2023,11124,11129,0,0
2215,santa fe springs  city of,2023,7578,7399,0,179
2217,santa margarita water district,2023,34073,45372,NA,NA
2218,santa maria  city of,2023,14313,14313,0,0
2220,santa monica  city of,2023,17000,16765,NA,3483
2222,santa paula  city of,2023,4198,6215,NA,NA
2224,santa rosa  city of,2023,20401,22660,NA,NA
2237,scotts valley water district,2023,1121,1300,0,0
2241,seal beach  city of,2023,3407,3407,0,0
2251,serrano water district,2023,4233,4233,NA,NA
2260,shafter  city of,2023,2000,2029,0,200
2273,shasta lake  city of,2023,2637,1018,2939,0
2290,sierra madre  city of,2023,2559,2499,0,60
2298,signal hill  city of,2023,1958,2022,NA,NA
2323,soledad  city of,2023,2176,148000,NA,NA
2326,sonoma  city of,2023,2253,3288,0,0
2328,sonoma county water agency,2023,65020,65020,0,0
2330,soquel creek water district,2023,3522,3522,NA,NA
2334,south coast water district,2023,7016,7016,0,0
2337,south feather water and power,2023,2864,32220,NA,200
2341,south gate  city of,2023,7649,11383,0,0
2343,south mesa water company,2023,2557,2557,0,NA
2345,south pasadena  city of,2023,5052,4572,0,480
2346,south san joaquin irrigation district,2023,31522,26448,0,5074
2348,south tahoe public utility district,2023,5842,20924,NA,NA
2381,stockton  city of,2023,34635,54800,NA,NA
2382,stockton east water district,2023,245661,78408,16129,151124
2401,suburban water systems - san jose hills,2023,23993,32481,0,0
2402,suburban water systems - whittier/la mirada,2023,16770,20032,0,0
2405,suisun - solano water authority,2023,1141,1141,NA,NA
2419,sunny slope water company,2023,4689,4192,0,497
2424,sunnyslope county water district,2023,6917,6225,0,692
2425,sunnyvale  city of,2023,20045,22605,0,0
2432,susanville  city of,2023,712,2252,NA,NA
2437,sweetwater authority,2023,19652,19652,NA,NA
2438,sweetwater springs water district,2023,540,796,NA,135
2444,tahoe city public utilities district,2023,571,838,NA,NA
1408,temescal valley water district,2023,6744,7179,NA,NA
2457,templeton community services district,2023,1465,2212,0,100
440,test agency 3,2023,NA,NA,NA,NA
2466,thermalito water and sewer district,2023,2398,8400,NA,NA
2469,thousand oaks  city of,2023,10583,10583,0,0
2473,three valleys municipal water district,2023,70173,74233,0,0
2487,torrance  city of,2023,18192,29643,0,0
2490,trabuco canyon water district,2023,3353,3353,0,0
2496,tracy  city of,2023,20716,19403,0,1313
2510,triunfo sanitation district/oak park water service,2023,2220,2087,NA,222
2512,truckee - donner public utilities district,2023,1805,7168,NA,NA
2516,tulare  city of,2023,5961,5139,0,822
2523,tuolumne utilities district,2023,17801,23185,NA,NA
2524,turlock  city of,2023,11263,12931,NA,NA
2528,tustin  city of,2023,10841,10841,0,0
2530,twentynine palms water district,2023,2838,6995,0,0
2536,ukiah  city of,2023,2987,11534,0,299
2540,united water conservation district,2023,13499,13499,0,0
2541,upland  city of,2023,20793,20793,NA,NA
2543,upper san gabriel valley municipal water,2023,63862,34779,NA,6386
2597,vacaville  city of,2023,18346,18792,NA,5504
2602,vallecitos water district,2023,5609,5609,NA,NA
2603,vallejo  city of,2023,28616,28941,NA,NA
2604,valley center municipal water district,2023,19353,19353,0,0
2605,valley county water district,2023,6493,7236,0,0
2610,valley of the moon water district,2023,2794,3200,0,0
2618,valley water company,2023,3268,4166,0,0
2626,vaughn water company,2023,4953,7800,NA,750
2629,ventura county waterworks district no 01 - moorpark,2023,10267,12660,0,0
2631,ventura county waterworks district no 08 - simi valley,2023,20820,22087,NA,NA
2633,vernon  city of,2023,7200,8339,NA,NA
2635,victorville water district,2023,25285,25285,NA,NA
2649,vista irrigation district,2023,19472,19472,0,0
2661,walnut valley water district,2023,22435,23625,0,0
2662,wasco  city of,2023,1053,2100,NA,NA
2667,water facilities authority,2023,31910,28455,0,3455
2669,watsonville  city of,2023,7750,21000,NA,0
2675,west basin municipal water district,2023,144040,144040,0,0
2679,west kern water district,2023,14317,4400,8485,1432
2683,west sacramento  city of,2023,14150,26296,NA,NA
2690,west valley water district,2023,24326,27975,NA,NA
2691,westborough water district,2023,312,157,0,155
2697,western municipal water district of riverside,2023,28747,33912,NA,NA
2704,westminster  city of,2023,11564,11564,0,0
2723,whittier  city of,2023,8820,8848,0,0
2751,windsor  town of,2023,6105,4535,0,1570
2766,woodland  city of,2023,13198,32633,NA,NA
4811,woodland-davis clean water agency,2023,20024,19653,NA,NA
2782,yorba linda water district,2023,20360,20360,0,0
2789,yreka  city of,2023,1907,7051,0,0
2790,yuba city,2023,15491,23396,NA,NA
2793,yucaipa valley water district,2023,12330,58625,NA,NA
13,adelanto  city of,2024,3950,64406,NA,NA
22,alameda county flood control district  zone 7,2024,49400,60300,NA,NA
23,alameda county water district,2024,44129,51848,0,0
30,alhambra  city of,2024,10628,9753,0,875
55,amador water agency,2024,7912,18820,0,1978
57,american canyon  city of,2024,2848,2703,145,NA
64,anaheim  city of,2024,58334,58334,NA,NA
66,anderson  city of,2024,917,1048,NA,NA
79,antelope valley - east kern water agency,2024,43340,43120,220,0
82,antioch  city of,2024,4662,4841,NA,NA
87,apple valley ranchos water company,2024,17249,16486,0,763
93,arcadia  city of,2024,15911,15326,0,585
94,arcata  city of,2024,645,1369,NA,NA
99,arroyo grande  city of,2024,2343,2807,NA,NA
102,arvin community service district,2024,1057,1057,0,423
107,atascadero mutual water company,2024,1787,1787,NA,NA
110,atwater  city of,2024,7608,7608,NA,NA
117,azusa light and water,2024,18492,23447,0,0
123,bakersfield  city of,2024,49303,41908,NA,7395
124,bakman water company,2024,1181,1181,0,0
129,banning  city of,2024,9443,9507,0,944
159,beaumont - cherry valley water district,2024,14648,11600,NA,3662
167,bella vista water district,2024,10095,9109,1000,0
170,bellflower - somerset mutual water company,2024,5877,5093,NA,784
178,benicia  city of,2024,10235,17853,NA,NA
193,beverly hills  city of,2024,11360,11360,NA,NA
197,big bear community services district,2024,1161,1161,0,0
198,big bear lake  city of,2024,2145,3100,NA,NA
241,blythe  city of,2024,3480,6900,0,348
262,brawley  city of,2024,2234,2922,NA,NA
263,brea  city of,2024,10028,10028,0,0
264,brentwood  city of,2024,4131,6231,NA,NA
283,buena park  city of,2024,14937,14937,0,0
285,burbank  city of,2024,26367,26367,0,0
286,burlingame  city of,2024,1249,662,NA,587
351,calaveras county water district,2024,5564,76602,0,3
353,calexico  city of,2024,2390,2920,0,239
368,california american water company - los angeles division,2024,21163,21163,0,0
369,california american water company - monterey district,2024,10181,5080,0,5101
372,california american water company - sacramento district,2024,10531,41559,0,0
373,california american water company - san diego district,2024,3297,3957,NA,NA
376,california american water company - ventura district,2024,16353,18559,0,0
384,california water service company antelope valley,2024,729,729,NA,NA
386,california water service company bakersfield,2024,61809,61809,NA,NA
387,california water service company bear gulch,2024,13707,7265,0,6442
388,california water service company chico district,2024,25136,25136,NA,NA
390,"california water service company dixon, city of",2024,1431,1431,NA,NA
391,california water service company dominguez,2024,34059,34059,NA,NA
392,california water service company east los angeles,2024,14543,14543,NA,NA
396,california water service company hermosa/redondo,2024,11258,11258,NA,NA
397,california water service company kern river valley,2024,791,791,NA,NA
398,california water service company king city,2024,1759,1759,NA,NA
401,california water service company livermore,2024,9823,9823,NA,NA
402,california water service company los altos/suburban,2024,14057,14057,NA,NA
405,california water service company marysville,2024,2086,2086,NA,NA
