pwsid,org_id,year,source_type,source_status,number_of_sources
CA0110011,1443,2022,purchased grounwater,new,NA
CA0110011,1443,2022,purchased surface water,approved,3
CA0110011,1443,2022,purchased surface water,new,6
CA0110011,1443,2022,standby sources,approved,0
CA0110011,1443,2022,standby sources,new,1
CA0110011,1443,2022,surface water,approved,0
CA0110011,1443,2022,surface water,new,NA
CA0210002,NA,2022,emergency interties,approved,0
CA0210002,NA,2022,emergency interties,new,NA
CA0210002,NA,2022,groundwater,approved,4
CA0210002,NA,2022,groundwater,new,NA
CA0210002,NA,2022,purchased grounwater,approved,0
CA0210002,NA,2022,purchased grounwater,new,NA
CA0210002,NA,2022,purchased surface water,approved,0
CA0210002,NA,2022,purchased surface water,new,NA
CA0210002,NA,2022,standby sources,approved,0
CA0210002,NA,2022,standby sources,new,NA
CA0210002,NA,2022,surface water,approved,0
CA0210002,NA,2022,surface water,new,NA
CA0300037,NA,2022,emergency interties,approved,0
CA0300037,NA,2022,emergency interties,new,NA
CA0300037,NA,2022,groundwater,approved,0
CA0300037,NA,2022,groundwater,new,NA
CA0300037,NA,2022,purchased grounwater,approved,0
CA0300037,NA,2022,purchased grounwater,new,NA
CA0300037,NA,2022,purchased surface water,approved,0
CA0300037,NA,2022,purchased surface water,new,NA
CA0300037,NA,2022,standby sources,approved,1
CA0300037,NA,2022,standby sources,new,NA
CA0300037,NA,2022,surface water,approved,1
CA0300037,NA,2022,surface water,new,NA
CA0310001,NA,2022,emergency interties,approved,0
CA0310001,NA,2022,emergency interties,new,NA
CA0310001,NA,2022,groundwater,approved,0
CA0310001,NA,2022,groundwater,new,NA
CA0310001,NA,2022,purchased grounwater,approved,0
CA0310001,NA,2022,purchased grounwater,new,NA
CA0310001,NA,2022,purchased surface water,approved,1
CA0310001,NA,2022,purchased surface water,new,NA
CA0310001,NA,2022,standby sources,approved,0
CA0310001,NA,2022,standby sources,new,NA
CA0310001,NA,2022,surface water,approved,0
CA0310001,NA,2022,surface water,new,NA
CA0310002,55,2022,emergency interties,approved,0
CA0310002,55,2022,emergency interties,new,0
CA0310002,55,2022,groundwater,approved,0
CA0310002,55,2022,groundwater,new,0
CA0310002,55,2022,purchased grounwater,approved,0
CA0310002,55,2022,purchased grounwater,new,0
CA0310002,55,2022,purchased surface water,approved,0
CA0310002,55,2022,purchased surface water,new,0
CA0310002,55,2022,standby sources,approved,0
CA0310002,55,2022,standby sources,new,0
CA0310002,55,2022,surface water,approved,1
CA0310002,55,2022,surface water,new,0
CA0310003,55,2022,emergency interties,approved,0
CA0310003,55,2022,emergency interties,new,0
CA0310003,55,2022,groundwater,approved,0
CA0310003,55,2022,groundwater,new,0
