pwsid,org_id,year,source_type,source_status,number_of_sources
CA1010023,NA,2022,emergency interties,new,0
CA1010023,NA,2022,groundwater,approved,0
CA1010023,NA,2022,groundwater,new,0
CA1010023,NA,2022,purchased grounwater,approved,0
CA1010023,NA,2022,purchased grounwater,new,0
CA1010023,NA,2022,purchased surface water,approved,0
CA1010023,NA,2022,purchased surface water,new,0
CA1010023,NA,2022,standby sources,approved,0
CA1010023,NA,2022,standby sources,new,0
CA1010023,NA,2022,surface water,approved,1
CA1010023,NA,2022,surface water,new,0
CA1010024,421,2022,emergency interties,approved,0
CA1010024,421,2022,emergency interties,new,NA
CA1010024,421,2022,groundwater,approved,10
CA1010024,421,2022,groundwater,new,NA
CA1010024,421,2022,purchased grounwater,approved,0
