pwsid,population
CA1210001,20359
CA1210002,1245
CA1210004,27078
CA1210006,12133
CA1210007,2574
CA1210008,913
CA1210009,19726
CA1210010,906
CA1210011,1207
CA1210012,3300
CA1210013,680
CA1210015,1298
CA1210016,16900
CA1210017,750
CA1210018,1072
CA1210019,1412
CA1210020,1845
CA1210021,927
CA1210022,803
CA1210023,937
CA1210024,490
CA1300009,151
CA1300018,1800
CA1300513,150
CA1300514,125
CA1300546,50
CA1300550,600
CA1300553,142
CA1300554,550
CA1300555,175
CA1300556,85
CA1300560,217
CA1300572,70
CA1300575,101
CA1300579,1369
CA1300588,37
CA1300616,410
CA1300620,630
CA1300622,198
CA1300626,650
CA1300628,40
CA1300629,29
CA1300664,25
CA1310001,26928
CA1310002,40357
CA1310003,7412
CA1310004,44158
CA1310005,6355
CA1310006,21347
CA1310007,6979
CA1310008,2202
CA1310013,1729
CA1310700,1944
CA1310800,4800
CA1310801,3800
CA1400002,231
CA1400004,242
CA1400005,311
CA1400006,240
CA1400007,600
CA1400010,1225
CA1400019,80
CA1400020,23
CA1400024,25
CA1400025,70
CA1400026,90
CA1400027,132
CA1400030,468
CA1400031,65
CA1400034,175
CA1400036,66
CA1400037,54
CA1400045,73
CA1400056,59
CA1400059,126
CA1400064,253
CA1400066,60
CA1400070,138
CA1400072,70
CA1400078,38
CA1400098,40
CA1400099,182
CA1400109,42
CA1400110,188
CA1400111,764
CA1400135,105
CA1400144,73
CA1400155,32
CA1400511,22
CA1400518,25
CA1400522,35
CA1410001,3819
CA1410002,0
CA1410003,0
CA1410004,0
CA1410005,1030
CA1410006,792
CA1410007,1400
CA1410008,669
CA1410009,1835
CA1410502,175
CA1410503,88
CA1410505,150
CA1410510,0
CA1410800,92
CA1500096,126
CA1500152,26
CA1500209,143
CA1500211,433
CA1500231,849
CA1500251,272
CA1500252,130
CA1500289,150
CA1500290,270
CA1500296,545
CA1500314,297
CA1500324,92
CA1500327,34
CA1500333,171
CA1500336,45
CA1500340,150
CA1500341,60
CA1500344,32
CA1500349,200
CA1500364,75
CA1500371,208
CA1500374,149
CA1500378,150
CA1500393,238
CA1500398,32
CA1500401,157
CA1500404,68
CA1500405,87
CA1500406,632
CA1500407,227
CA1500409,462
CA1500413,132
CA1500424,174
CA1500426,65
CA1500436,74
CA1500442,31
CA1500443,465
CA1500447,150
CA1500448,36
CA1500449,56
CA1500452,750
CA1500455,56
CA1500458,67
CA1500459,82
CA1500461,68
CA1500465,123
CA1500466,710
CA1500475,504
CA1500478,386
CA1500481,877
CA1500483,195
CA1500485,60
CA1500489,89
CA1500493,200
CA1500494,66
CA1500507,105
CA1500516,32
CA1500518,38
CA1500525,120
CA1500535,200
CA1500540,109
CA1500542,275
CA1500543,50
CA1500544,365
CA1500546,138
CA1500550,70
CA1500553,62
CA1500554,87
CA1500555,200
CA1500556,56
CA1500557,393
CA1500560,42
CA1500561,50
CA1500563,198
